epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.0009,2.8992,0.11638,0.38793,3.12256,0.067625,3.24074e-05,3.24074e-05
2,31.5432,2.24129,0.375,0.68534,2.24609,0.0343243,6.50899e-05,6.50899e-05
3,38.3238,1.88087,0.44828,0.8319,1.78589,0.00102304,9.71124e-05,9.71124e-05
4,44.943,1.5802,0.53017,0.86638,1.50073,9.703e-05,9.703e-05,9.703e-05
5,51.5924,1.35762,0.53879,0.90086,1.40405,9.604e-05,9.604e-05,9.604e-05
6,58.6361,1.23892,0.59052,0.92241,1.24927,9.505e-05,9.505e-05,9.505e-05
7,65.3748,1.11338,0.58621,0.92672,1.22705,9.406e-05,9.406e-05,9.406e-05
8,71.9527,1.08193,0.60776,0.92672,1.20166,9.307e-05,9.307e-05,9.307e-05
9,78.5923,1.03323,0.63362,0.93534,1.16504,9.208e-05,9.208e-05,9.208e-05
10,85.2117,0.91757,0.65086,0.92672,1.14844,9.109e-05,9.109e-05,9.109e-05
11,92.5688,0.9135,0.63362,0.93534,1.13904,9.01e-05,9.01e-05,9.01e-05
12,99.2299,0.86829,0.63362,0.94397,1.06494,8.911e-05,8.911e-05,8.911e-05
13,105.962,0.83239,0.65086,0.93534,1.07654,8.812e-05,8.812e-05,8.812e-05
14,112.693,0.79213,0.63793,0.93103,1.09131,8.713e-05,8.713e-05,8.713e-05
15,119.314,0.71723,0.625,0.93966,1.05078,8.614e-05,8.614e-05,8.614e-05
16,126.097,0.69694,0.66379,0.93966,1.00989,8.515e-05,8.515e-05,8.515e-05
17,133.972,0.72709,0.68103,0.94828,1.01819,8.416e-05,8.416e-05,8.416e-05
18,140.912,0.73061,0.65948,0.9569,1.01294,8.317e-05,8.317e-05,8.317e-05
19,147.382,0.64174,0.65948,0.94828,1.00513,8.218e-05,8.218e-05,8.218e-05
20,153.962,0.63841,0.63793,0.96121,1.02124,8.119e-05,8.119e-05,8.119e-05
21,160.31,0.59135,0.64224,0.9569,1.05017,8.02e-05,8.02e-05,8.02e-05
22,167.106,0.56073,0.65086,0.94828,0.9978,7.921e-05,7.921e-05,7.921e-05
23,174.171,0.56165,0.65086,0.96121,1.01465,7.822e-05,7.822e-05,7.822e-05
24,181.02,0.57238,0.64655,0.95259,1.00781,7.723e-05,7.723e-05,7.723e-05
25,187.628,0.51574,0.63793,0.9569,1.07483,7.624e-05,7.624e-05,7.624e-05
26,194.395,0.58131,0.66379,0.94828,1.0415,7.525e-05,7.525e-05,7.525e-05
27,200.92,0.49806,0.66379,0.96121,1.01514,7.426e-05,7.426e-05,7.426e-05
28,207.365,0.49329,0.65517,0.96552,1.01392,7.327e-05,7.327e-05,7.327e-05
29,213.881,0.49984,0.65086,0.9569,1.02649,7.228e-05,7.228e-05,7.228e-05
30,220.493,0.46886,0.63362,0.94397,1.08997,7.129e-05,7.129e-05,7.129e-05
31,227.144,0.45306,0.66379,0.95259,1.0553,7.03e-05,7.03e-05,7.03e-05
32,233.799,0.4078,0.65086,0.9569,1.03735,6.931e-05,6.931e-05,6.931e-05
33,240.861,0.42741,0.70259,0.95259,0.97009,6.832e-05,6.832e-05,6.832e-05
34,247.537,0.47914,0.65948,0.96121,1.06091,6.733e-05,6.733e-05,6.733e-05
35,254.011,0.39301,0.68103,0.95259,1.04639,6.634e-05,6.634e-05,6.634e-05
36,260.108,0.38634,0.65517,0.9569,1.04578,6.535e-05,6.535e-05,6.535e-05
37,266.362,0.36527,0.6681,0.95259,1.10083,6.436e-05,6.436e-05,6.436e-05
38,273.278,0.3746,0.68534,0.9569,1.04358,6.337e-05,6.337e-05,6.337e-05
39,279.345,0.40262,0.69828,0.95259,1.05188,6.238e-05,6.238e-05,6.238e-05
40,285.625,0.39274,0.67241,0.96121,1.05322,6.139e-05,6.139e-05,6.139e-05
41,292.049,0.35503,0.67241,0.96552,0.99597,6.04e-05,6.04e-05,6.04e-05
42,298.304,0.34605,0.68966,0.96121,1.00989,5.941e-05,5.941e-05,5.941e-05
43,304.643,0.36018,0.65517,0.94828,1.06885,5.842e-05,5.842e-05,5.842e-05
44,311.563,0.30202,0.68103,0.96121,1.02539,5.743e-05,5.743e-05,5.743e-05
45,319.501,0.33451,0.67672,0.96552,1.06445,5.644e-05,5.644e-05,5.644e-05
46,326.739,0.33896,0.67672,0.9569,1.08777,5.545e-05,5.545e-05,5.545e-05
47,334.486,0.29272,0.6681,0.95259,1.11743,5.446e-05,5.446e-05,5.446e-05
48,342.348,0.29984,0.65086,0.96552,1.13184,5.347e-05,5.347e-05,5.347e-05
49,349.511,0.31104,0.66379,0.96121,1.08899,5.248e-05,5.248e-05,5.248e-05
50,356.786,0.31466,0.67672,0.94828,1.12036,5.149e-05,5.149e-05,5.149e-05
51,363.345,0.28756,0.67672,0.9569,1.09534,5.05e-05,5.05e-05,5.05e-05
52,369.968,0.31071,0.67241,0.96552,1.09448,4.951e-05,4.951e-05,4.951e-05
53,376.654,0.28132,0.64224,0.96552,1.15649,4.852e-05,4.852e-05,4.852e-05
54,383.288,0.28146,0.67241,0.96552,1.08875,4.753e-05,4.753e-05,4.753e-05
55,390.155,0.29369,0.68966,0.95259,1.12524,4.654e-05,4.654e-05,4.654e-05
56,396.785,0.25872,0.68103,0.96121,1.13782,4.555e-05,4.555e-05,4.555e-05
57,403.265,0.24095,0.6681,0.96121,1.15076,4.456e-05,4.456e-05,4.456e-05
58,409.885,0.2336,0.67672,0.9569,1.16089,4.357e-05,4.357e-05,4.357e-05
59,416.203,0.2631,0.65948,0.9569,1.15771,4.258e-05,4.258e-05,4.258e-05
60,423.005,0.2545,0.67672,0.96552,1.11609,4.159e-05,4.159e-05,4.159e-05
61,430.179,0.24082,0.67672,0.96552,1.11621,4.06e-05,4.06e-05,4.06e-05
62,436.692,0.22873,0.65948,0.9569,1.15271,3.961e-05,3.961e-05,3.961e-05
63,443.313,0.25251,0.67241,0.9569,1.14832,3.862e-05,3.862e-05,3.862e-05
64,450.002,0.26333,0.65517,0.96552,1.15369,3.763e-05,3.763e-05,3.763e-05
65,456.778,0.20563,0.67241,0.96983,1.14319,3.664e-05,3.664e-05,3.664e-05
66,464.807,0.212,0.68534,0.96983,1.12878,3.565e-05,3.565e-05,3.565e-05
